,Unnamed: 0,season,episode_number,episode_title,quote,author
30369,41684,7,21,The Vows,Nice try.,Chandler
15261,24151,5,2,All The Kissing,We got out pictures back from London. (Shows her one.) Here`s all of us at the Tower of London.,Monica
24548,34819,6,20,Mac And C.H.E.E.S.E.,"Yeah, I thought I was pretty good too.",Joey
42772,57111,10,8,The Late Thanksgiving,"Dinner is at four, we`ll never gonna make it back.",Chandler
15638,24613,5,4,Phoebe Hates PBS,That he doesn`t exist.,Joey
37872,50747,9,7,Ross`s Inappropriate Song,What...? That`s not you! Life is good again! Ride `em cowgirl!,Chandler
20843,30552,6,3,Ross`s Denial,We dont have to come up with this now.,Chandler
300,344,1,2,The Sonogram At The End,Ugly Naked Guy got a Thighmaster!,Chandler
17936,27242,5,15,The Girl Who Hits Joey,"Well, I think, I think Ross knows about me and Monica.",Chandler
2341,2893,1,12,The Dozen Lasagnas,Oh he`s like a...,Phoebe
9163,16698,3,21,The Chick And The Duck,"So um, after you put the suggestion in the box, how long did it take for the roller skating thing to happen.",Chandler
1215,1488,1,6,The Butt,"Yeah, they said I acted too much with it. I told everybody about this! Now everybody`s gonna go to the theatre, expecting to see me, and...",Joey
22832,32805,6,12,The Joke,Im sick of Japanese. Were not going there.,Monica
32995,44932,8,8,The Stripper,"Joey Tribbiani, a big fan.",Joey
17121,26332,5,11,All The Resulutions,You look like a freak.,Joey
14515,23320,4,22,The Worst Best Man Ever,(grabs it) Thanks.,Joey
9871,17649,3,24,The Ultimate Fighting Champion,"Okay, just get a lot better. (pause) Fast.",Monica
24516,34778,6,19,Joey`s Fridge,"Ill tell ya who should be embarrassed! Its you guys! Come on! This is ridiculous! Thank you very much, but I do not need you to get me a date!",Rachel
4735,6151,2,1,Ross`s New Girlfriend,What about her? They`ve only been going out for two weeks. Ross has been in love with you for like 10 years.,Joey
21451,31230,6,6,On The Last Night,"(entering and interrupting the guys escape attempt) Okay! The movers will be here in 11 hours. Rachel has not packed. Now, everybody has to help! Chandler, were gonna start with",Monica
11692,19880,4,8,Chandler In A Box,Gotcha! (laughs),Chandler
14742,23564,4,23,Ross`s Wedding,Yeah. (He does so and Phoebe hugs him.),Ross
35659,48060,8,21,The Cooking Class,"Horny bitch. (They both look at her, pretending that the dinosaurs shes holding are arguing.) No! Youre a horny bitch! Noooo! Youre the horny bitch! No! Youre a horny bitch!",Rachel
5258,11892,3,2,No One`s Ready,It was Michelle. It was definitely Michelle.,Monica
33415,45442,8,10,Monica`s Boots,"Now sweetie, I know you dont like my office parties, but you can wear your new boots. See? Every cloud has asupple leather lining.",Chandler
29532,40739,7,17,The Cheap Wedding Dress,No! You gotta get me out of here Phoebe! These bargain shoppers are crazy!,Rachel
9512,17110,3,22,The Screamer,"Wow! Yeah I ah, I gave up a job too.",Joey
30832,42211,7,23,Chandler And Monica`s Wedding,Yeah! Me too. (He pats his pocket.),Joey
29433,40604,7,16,The Truth About London,Oh I,Rachel
42449,56697,10,6,Ross`s Grant,She`s mine!,Rachel
43002,57346,10,8,The Late Thanksgiving,WE`RE GETTING A BABY!,Monica
18517,27932,5,17,Rachel`s Inadvertant Kiss,"Yeah that was great. That was really great! But to tell you the truth, I`m more excited about where we are right now.",Chandler
2033,2538,1,11,Mrs. Bing,Uh-oh...,Ross
44015,58558,10,12,Phoebe`s Wedding,I do.,Phoebe
9650,17299,3,23,Ross`s Thing,"Whoa, that doesn`t necessarily mean that he`s breaking up with you.",Joey
42619,56925,10,7,The Home Study,If you hold a spider.,Rachel
13018,21480,4,14,Joey`s Dirty Day,Joshua.,Rachel
12924,21369,4,14,Joey`s Dirty Day,"Yes you can. Youre thinking about time, you cant go back in time.",Chandler
6233,13039,3,6,The Flashback,I cant believe you came back.,Chandler
2708,3403,1,15,The Stoned Guy,Thank you.,Joey
27722,38537,7,9,All The Candy,"Ross! That is so sweet of you to get Phoebe that bike! When I heard the story, I almost cried.",Monica
9987,17796,3,25,At The Beach,"Whats with all this sand? (picking a handful of sand off of the floor, which is covered in sand)",Monica
24469,34720,6,19,Joey`s Fridge,"Sure. Sure. Look I dont, I dont know if your plans are finalized yet, but umm, hey I-I know another great way to blow off steam.",Ross
11100,19193,4,5,Joey`s New Girlfriend,Can I sleep on your couch?,Chandler
37269,49989,9,4,The Sharks,really?,Monica
14311,23095,4,21,The Invitation,"Yes, yes, that`s right...",Ross
25618,36179,6,24,"The Proposal, Part I & II",Oh my God! Then-then-then what are we even doing?! What is this?!,Monica
10920,18968,4,5,Joey`s New Girlfriend,Thank you.,Phoebe
1796,2207,1,10,The Monkey,"Ross, is he gonna live with you, like, in your apartment?",Monica
12880,21324,4,14,Joey`s Dirty Day,"Heywhoa, slow down. (Gets a whiff of him) No, keep moving. (Joey runs off.) Wow!",Rachel
23268,33336,6,14,Chandler Can`t Cry,"(hands the tape back to Joey, but doesnt let him grab it) Yknow maybe a little bit!",Monica
16516,25601,5,8,The Thanksgiving Flashbacks,Yeah that`s the same.,Ross
3418,4500,1,19,The Monkey Gets Away,"Hi, how was the movie?",Rachel
18323,27688,5,16,The Cop,"(taking a bite) Oh, great! Can you believe I found it on the second floor?",Joey
13499,22130,4,17,The Free Porn,"She said, `Thank you.` I said, `I love you.` And she said, `Thank you.`",Ross
20124,29769,5,23,In Vegas,"Ross, no! There is no way I am leaving this room looking like this!",Rachel
15583,24553,5,3,Hundredth,They`re gonna call her Chandler.,Phoebe
16538,25655,5,8,The Thanksgiving Flashbacks,"Listen, Roland Chang, if things go well, Im gonna be out with her all night.",Ross
40584,54341,9,22,The Donor,"(disappointed) Oh, good for you.",Phoebe
17447,26696,5,12,Chandler`s Work Laugh,Okay. Sometimes I feel,Ross
5228,11858,3,2,No One`s Ready,"So, should I call him back?",Monica
6076,12865,3,6,The Flashback,Is it the Italian guy?,Monica
17910,27214,5,14,Everybody Finds Out,Ooh.,Phoebe
31874,43566,8,3,Rachel Tells...,Didnt you two already talk?,Phoebe
16990,26197,5,10,The Inappropriate Sister,"Great! Now, we can go to the Ranger game! (Pause) Last night!",Chandler
24320,34548,6,19,Joey`s Fridge,Well thanks!,Ross
14232,23008,4,20,The Wedding Dresses,"Oh, Rachel, Im-Im sorry.",Ross
34357,46502,8,14,The Secret Closet,Are you sure?,Monica
29490,40673,7,17,The Cheap Wedding Dress,"No, I cant afford this either. No. I-I-Im, Im just to figure out which one I want then Im gonna get it at Kleinmans, this discount place in Brooklyn, day after tomorrow they are having a huge sale.",Monica
39162,52669,9,16,The Boob Job,Hey! What do you guys think about this. `Ross: The Divorce-Force`.,Ross
9134,16666,3,21,The Chick And The Duck,(popping back up) Regular or decaf?,Monica
8680,16019,3,18,The Hypnosis Tape,"No the mans right, thats what I had with Rachel.",Ross
30054,41332,7,19,Ross And Monica`s Cousin,And?,Monica
45353,60137,10,17,"The Last One, Part I & II","Well, I can`t do it either.",Chandler
37281,50003,9,5,Phoebe`s Birthday Dinner,"So, so, is Mike coming to dinner?",Ross
25464,35991,6,24,"The Proposal, Part I & II",Yes. (Thinking hes gone.),Chandler
24035,34210,6,17,Unagi,(not buying it) Uh-huh.,Monica
2385,2940,1,12,The Dozen Lasagnas,You ok?,Phoebe
18554,27973,5,18,Rachel Smokes,"Okay, let`s discuss Rachel`s birthday. I say we throw a surprise party this weekend.",Phoebe
22949,32935,6,12,The Joke,"I pick you, Phoebe.",Monica
42287,56484,10,6,Ross`s Grant,"Oh, then I`ll tell you. My agency was bidding for a big account and they got it! It`s my first national commercial!",Chandler
28482,39421,7,13,Rosita Dies,"Hey, yknow whats weird? After you guys get married, when you introduce me to people youre gonna have to say, `This is my brother-in-law Ross.` Not, `My friend Ross,` `brother-in-law Ross.` Thats weird isnt it?",Ross
36551,49148,9,1,No One Proposes,You still havent told Rachel you werent really proposing?,Chandler
4412,5782,1,24,Rachel Finds Out,Hey!,Chandler
14611,23425,4,22,The Worst Best Man Ever,"Alrighty, here come the water works. (Rachel starts crying harder.)",Phoebe
30203,41501,7,20,Rachel`s Big Kiss,"Oh-ho, you should get inside my head.",Joey
25557,36102,6,24,"The Proposal, Part I & II",Good one! Yeah.,Phoebe
39936,53544,9,20,The Soap Opera Party,"No, I don`t think it ever works. Why?",Monica
2669,3331,1,14,The Candy Hearts,Can we just start throwing things in?,Monica
14111,22870,4,20,The Wedding Dresses,Can you just hold on for one minute?,Monica
7159,14143,3,11,Chandler Can`t Remember Which Sister,"Oh, he is. And he is so dreamy. I mean, y`know what, when he left I actually used the phrase, Hummina-hummina-hummina. (walks away)",Monica
18938,28425,5,19,Ross Can`t Flirt,Ohh that`d be great!,Rachel
13953,22680,4,19,All The Haste,"Seriously, good game though. Good game. (He tries to congratulate them, but they pull away.) (To Chandler) What are they so mad about? They get the apartment back!",Joey
6041,12828,3,6,The Flashback,"Why, nobody good?",Phoebe
14369,23157,4,21,The Invitation,WE WERE ON A BREAK!!!!!!!,Ross
14635,23449,4,22,The Worst Best Man Ever,"Well, what if we just ah, called her, used a fake name, and had her come to my office?",Chandler
16865,26042,5,10,The Inappropriate Sister,Thanks!,Joey
26025,36619,7,1,Monica`s Thunder,"I dont know! I dontmaybe youre feeling a little resentful. Maybe ah, maybe you thought youd get married first! Maybe you cant stand the fact that your formally fat friend is getting married before you!",Monica
91,96,1,1,Monica Gets A Roommate,"Hey, Paul!",Joey
37765,50600,9,7,Ross`s Inappropriate Song,I knew you didn`t get a 1400!,Monica
38361,51693,9,12,Phoebe`s Rats,What? You really think she`s hot?,Rachel
19862,29496,5,23,In Vegas,Yes.,Chandler
34920,47119,8,17,The Tea Leaves,Thats what I told him!,Rachel
38261,51587,9,10,Christmas In Tulsa,"Y`know, I don`t know if you`ve ever looked up the term goofing around in the dictionary... Well, I have, and the technical definition is, two friends who care a lot about each other and have amazing sex and just wanna spend more time together. But if you have this new fangled dictionary that gets you made at me, then we have to, y`know, get you my original dictionary. I am *so* bad at this.",Chandler
19415,28985,5,21,The Ball,"Okay, yeah, I`ll see you later! Don`t forget about the moving in!",Phoebe
37608,50388,9,6,The Male Nanny,"No, no, it`s not that. (they go sit on the couch) Uhm... Remember when you asked me if I was seeing someone and I said no? Well, uhm... I am. His ... his name is Mike.",Phoebe
39848,53454,9,19,Rachel`s Dream,Well...it`s not about quality.,Phoebe
6288,13106,3,7,The Race Car Bed,Oh. (goes and answers the door and there is this huge black delievery guy.),Phoebe
42608,56914,10,7,The Home Study,"Oh, it`s just some crazy guy who roams the halls here. He`s great with kids though.",Chandler
13504,22135,4,17,The Free Porn,She already lives in London.,Ross
15207,24096,5,2,All The Kissing,"Y`know, I think they have those at that British pub near the trade center.",Ross
6013,12794,3,5,Frank Jr.,"Get out your checkbook, mister.",Joey
15782,24778,5,5,The Kips,"Well that`s because you always sleep to noon, silly! This is what 9 looks like.",Monica
1003,1223,1,5,The East German Laundry Detergent,"Oh, everything`s pink.",Rachel
37858,50733,9,7,Ross`s Inappropriate Song,Whoho ho... Listen to the judgement from the porn star!,Chandler
38887,52336,9,15,The Mugging,You`re mother killed herself!,Monica
19265,28805,5,21,The Ball,"No, but it is fast. Isn`t it?",Phoebe
32950,44879,8,8,The Stripper,"Ah, its good. Its going good. I mean, we get along great. Shes, shes so",Ross
15747,24743,5,4,Phoebe Hates PBS,Keep talking.,Monica
29653,40871,7,17,The Cheap Wedding Dress,Hey you leave Marcel out of this!,Ross
29039,40118,7,15,Joey`s New Brain,No I mean it! I cant believe they would do this to you! And to your fans! I mean they are going to be devastated! Heart broken! They love you so much!,Joey
8541,15841,3,17,The Ski Trip,Thats what you said last night.,Ross
7630,14729,3,13,Monica And Richard Are Just Friends,Hey.,Phoebe
31109,42563,7,23,Chandler And Monica`s Wedding,"(pause) Youre right, thanks for keeping me honest dad.",Ross
44265,58845,10,13,Joey Speaks French,So uh... I guess I wanna take off.,Ross
14681,23500,4,22,The Worst Best Man Ever,Oh!,Rachel
41330,55282,10,1,Joey and Rachel Kiss,Because you took three hundred bottles of shampoo?,Rachel
42660,56980,10,7,The Home Study,"No, no! Don`t try to turn this around on me, ok? I`m not some kind of... social work, ok, that you can just... do.",Joey
37564,50333,9,6,The Male Nanny,(Doesn`t believe what she`s hearing) Was your cabin pressurised?,Monica
39085,52582,9,16,The Boob Job,What do you mean?,Phoebe
26885,37577,7,5,The Engagement Picture,"Yknow, all the women.",Rachel
32868,44777,8,7,The Stain,"Youre so sweet. (Notices something in the crib.) Oh my God! And you gave the baby Hugsy! (A stuffed penguin wearing a ski jacket, goggles, and hat.)",Rachel
35092,47354,8,18,In Massapequa,I feel terrible.,Monica
30358,41673,7,21,The Vows,You`ll get one.,Chandler
13860,22587,4,19,All The Haste,"Ugh, shes saying good-bye to her uncle.",Ross
29580,40787,7,17,The Cheap Wedding Dress,Oh,Monica
34770,46960,8,16,Joey Tells Rachel,Id like to have Don and Phoebe over. Wouldnt that be nice?,Monica
30719,42069,7,22,Chandler`s Dad,Relax! Youll be fine. (Chandler exhales and turns off the table light.) Oh much better. Youre invisible now.,Monica
44147,58707,10,13,Joey Speaks French,Uh. (pause) Did you call your parents?,Rachel
3910,5117,1,21,The Fake Monica,Yo- hooo!,Monica
15775,24771,5,4,Phoebe Hates PBS,Never done that before.,Monica
40729,54534,9,23,In Barbados,(looking very serious) I need to talk to you.,Monica
25712,36276,6,24,"The Proposal, Part I & II",(entering) Chandler is such an idiot!,Monica
39122,52628,9,16,The Boob Job,Never.,Phoebe
10713,18694,4,3,The Cuffs,Wow!,Monica
35799,48232,8,22,Rachel Is Late,"Hes not snoozing, hes teaching a class.",Chandler
15498,24422,5,3,Hundredth,"Why not?! Maybe I can, you don`t know!",Phoebe
20582,30275,6,2,Ross Hugs Rachel,What?! Why?,Ross
5795,12513,3,4,The Metaphorical Tunnel,Okay.,Ross
16022,25021,5,5,The Kips,I guess I`m done.,Joey
19616,29238,5,22,Joey`s Big Break,"Hey, so where are we staying? Is the movie putting us up in a big hotel suite?",Chandler
44070,58617,10,13,Joey Speaks French,"Ok, ok. I`m gonna come out to Long Island with you, I mean, you can`t be alone right now.",Ross
23373,33467,6,15,"That Could Have Been, Part I & II","Yeah, but that just means that he was falling asleep on top of her instead of me.",Rachel
18107,27448,5,15,The Girl Who Hits Joey,"Yeah, I`m kinda wishing everyone wasn`t here right now.",Chandler
28681,39692,7,13,Rosita Dies,"Well w-w-w-w-wait, w-wait, wait, wait a minute! I mean a couple of stupid boxes get wet and she gets a Porsche?!",Ross
114,120,1,1,Monica Gets A Roommate,"Yes, please don`t spoil all this fun.",Chandler
14639,23453,4,22,The Worst Best Man Ever,Good.,Rachel
11800,20014,4,9,They`re Going To Party,"I have an audition, but Ill definitely hook up with you later. Where are you gonna be around noon?",Joey
24766,35053,6,21,Ross Meets Elizabeth`s Dad,Oh thats right. Its your first day! So are you psyched to fight fake crime with your robot sidekick?,Chandler
6123,12929,3,6,The Flashback,You want some help with that?,Monica
39863,53470,9,19,Rachel`s Dream,There`s a forest right outside.,Chandler
34330,46475,8,14,The Secret Closet,"So, hows the hideously inappropriate crush on Rachel coming?",Chandler
39709,53279,9,19,Rachel`s Dream,"Phoebe, what happened?",Ross
2606,3249,1,14,The Candy Hearts,Janice?,Chandler
12256,20581,4,11,Phoebe`s Uterus,"Let me see that. (Monica shows her) Oh, yeah.",Rachel
13804,22524,4,19,All The Haste,Yeah?,Ross
37773,50608,9,7,Ross`s Inappropriate Song,"I just finished getting Phoebe all dressed to meet Mike`s parents. She`s so nervous, it`s so sweet!",Rachel
12729,21128,4,13,Rachel`s Crush,"No, sorry.",Phoebe
16110,25117,5,6,The Yeti,Really?,Rachel
22796,32765,6,12,The Joke,"Well, Im not going to go now anyway (he goes to sit down).",Ross
29323,40486,7,16,The Truth About London,Okay!,Monica
3260,4339,1,18,All The Poker,Hi!,Rachel
5557,12228,3,3,The Jam,"I think, that if you really like this guy, you should just trust him.",Monica
10517,18442,4,2,The Cat,"Well, tonight, I actually went out with Chip Matthews in high school.",Monica
41827,55897,10,4,The Cake,Yeah! I wrote Emma a song.,Phoebe
11689,19877,4,8,Chandler In A Box,I saved you a seat. (Motions to the one next to her.),Monica
22928,32912,6,12,The Joke,Ahhh! You are on my list.,Monica
18018,27341,5,15,The Girl Who Hits Joey,"I`m just hanging out. Y`know, having fun. Y`know with the girl that I`m seeing casually.",Chandler
16281,25325,5,7,Ross Moves In,(entering from the bathroom) Hey roomies!,Ross
20534,30226,6,2,Ross Hugs Rachel,I havent seen it yet!,Rachel
20609,30302,6,2,Ross Hugs Rachel,(singing) Well be waiting for you,Monica
16567,25696,5,8,The Thanksgiving Flashbacks,Dude!,Ross
7222,14207,3,11,Chandler Can`t Remember Which Sister,Waiting for my Grandma to finish my laundry. What about you?,Joey
12882,21326,4,14,Joey`s Dirty Day,"Well, I didnt see Joshua last night, but I did punch a girl in the face.",Rachel
45141,59909,10,17,"The Last One, Part I & II",We`ll call you!,Monica
26982,37698,7,6,The Nap Partners,Still.,Phoebe
36027,48485,8,23,Rachel Has A Baby,"Umm say, I-I opened this earlier (The privacy screen) but let me give you guys some privacy.",Ross
33431,45461,8,10,Monica`s Boots,Joeytheres something that youshould know. Dina?,Rachel
34798,46988,8,16,Joey Tells Rachel,Yeah.,Rachel
11837,20068,4,9,They`re Going To Party,"Hand me those tomatoes, Im gonna show you what it should taste like! Come on, hand me them.",Monica
37225,49927,9,4,The Sharks,WHAT! WHY?,Phoebe
12092,20372,4,10,The Girl From Poughkeepsie,"Yknow, youre right. Thank you.",Ross
40776,54587,9,23,In Barbados,"Alright, ok, let`s do it. (Ross sits down at the desk and they all gather around him) Uhm, I know we start by discussing the shortcomings of carbon dating... uhm, and then, then I move on to what is clearly the defining moment of the Mesozoic era, the breakup of Pangea, hello! (Rachel and Joey look confused) And then, there`s the... eh... there`s the overview of the Triassic.",Ross
35341,47677,8,20,The Baby Shower,(announcer voice) All right! Lets play Bamboozled!,Joey
4088,5337,1,22,The Ick Factor,"All right, fine. Um, you were not the only one there. (Camera fades to Ross, who`s listening very carefully) Joey was there too.",Rachel
5854,12581,3,5,Frank Jr.,"Well, so, now, do you guys have a lot of big plans?",Rachel
24963,35324,6,22,Paul`s The Man,Hi!,Monica
26678,37325,7,4,Rachel`s Assistant,"Once Monica was sent to her room without dinner, so she ate the macaroni off a jewelry box shed made.",Ross
21739,31524,6,7,Phoebe Runs,Ankle.,Rachel
13343,21921,4,16,The Fake Party,I think youre done.,Monica
21187,30938,6,5,Joey`s Porsche,"Okay, maybe it wasnt my best decision. But I just couldnt face another failed marriage.",Ross
40234,53897,9,21,The Fertility Test,"Uh-oh. I hade a pretty hectic day at work too, today I had to open a door and go (looking scared) ohhhh!",Joey
24155,34340,6,18,Ross Dates A Student,I know! (Shrugs his shoulders.),Joey
5020,11623,3,1,The Princess Leia Fantasy,"You really, really need to get some sleep, honey.",Rachel
18345,27725,5,17,Rachel`s Inadvertant Kiss,"Good, you guys are all here!",Rachel
39189,52707,9,16,The Boob Job,I`m so sorry Pheebs.,Rachel
43597,58036,10,11,The Stripper Cries,Relish!,Joey
34772,46962,8,16,Joey Tells Rachel,Are you okay? Youve been acting weird all afternoon.,Monica
6430,13296,3,8,The Giant Poking Device,"Because, every time I go to the dentist, somebody dies.",Phoebe
36648,49249,9,2,Emma Cries,Ooooo!,Rachel
40067,53704,9,20,The Soap Opera Party,Nice to meet you.,Rachel
10184,18052,4,1,The Jellyfish,"Well, yeah. I cant-I cant stay here all night, and if I go in there shes-shes gonna wanna... do stuff.",Ross
43230,57636,10,10,Chandler Gets Caught,"(looking at her) Seriously, answer faster!",Chandler
44739,59447,10,16,Rachel`s Going Away Party,Damnit!,Joey
21551,31330,6,6,On The Last Night,Well its mine too! What else you got?!,Rachel
7269,14264,3,11,Chandler Can`t Remember Which Sister,"This is so bad. If-if youre not Mary-Angela, then-then who is?",Chandler
9195,16743,3,21,The Chick And The Duck,"Well yeah, dont-dont you think its a she?",Joey
23257,33325,6,14,Chandler Can`t Cry,Well down at the adult video place down on Bleaker.,Joey
27101,37817,7,6,The Nap Partners,Can you figure out what Im doing?,Chandler
15028,23901,5,1,Ross Says Rachel,"Hello? Oh, Pheebs! (To them) Its Phoebe!",Rachel
44207,58776,10,13,Joey Speaks French,"Huh, un, blu, bla, flu, flenk!",Joey
16205,25225,5,6,The Yeti,"Well uh, I don`t know about who`s here, but I can tell you for damn sure who`s not here and that`s Rachel!!",Joey
38465,51834,9,12,Phoebe`s Rats,"Oh, ok, thank you. (Molly leaves) (to Monica) Do you see what all the guys see in her?",Rachel
5076,11679,3,1,The Princess Leia Fantasy,"All right, betting and wagering of any kind, are, I`m sure, not permitted in the happy place. Okay. Just-just, you know, the-the lovely waterfalls, and the, the trickling fountains. And the-the calming sounds of the babbling brook....",Phoebe
32942,44865,8,8,The Stripper,Who?,Rachel
33357,45381,8,10,Monica`s Boots,"Stings son, seven years old and theres a picture.",Phoebe
15035,23908,5,1,Ross Says Rachel,"Okay, Pheebs, yknow what, lets look at this objectively all right? Ninth grade, right? The obsession starts. All right? The summer after ninth grade he sees me in a two-piece for the first time, his obsession begins to grow. So then",Rachel
25183,35633,6,23,The Ring,"Yeah thats great. But first, wait, talk to me, talk to me. Tell me about your day.",Rachel
23182,33227,6,14,Chandler Can`t Cry,"Right. Was it the, `Please dont show me another picture of a trilobite vibe?`",Rachel
3550,4657,1,19,The Monkey Gets Away,"Marc- oh, this is ridiculous! We`ve been all over the neighbourhood. He`s gone, he`s-he`s just gone.",Ross
7082,14047,3,11,Chandler Can`t Remember Which Sister,"(muffled through the floor) Yeah, look I was with my friend downstairs and we hear everything up here that you do, and I am sick and tired... (I tired but the rest is unintelligible).",Phoebe
15699,24688,5,4,Phoebe Hates PBS,"No, you cannot.",Monica
45048,59787,10,17,"The Last One, Part I & II",Good.,Ross
30107,41405,7,20,Rachel`s Big Kiss,Its not a big deal!,Rachel
8570,15870,3,17,The Ski Trip,I was being Shelly Winters from The Poseidon Adventure.,Chandler
10410,18309,4,2,The Cat,Hey!,Monica
22699,32659,6,11,The Apothecary Table,"All right, uh, weve got a little bit of a problem here. These people are my friends; you cant treat them that way.",Joey
32714,44577,8,7,The Stain,Youre moving?,Ross
752,923,1,4,George Stephanopoulos,Yeah.,Rachel
37551,50320,9,6,The Male Nanny,Phoebe!,Monica
42832,57172,10,8,The Late Thanksgiving,What are you doing here!,Rachel
30474,41790,7,21,The Vows,Are you kidding?!,Rachel
38172,51485,9,10,Christmas In Tulsa,"Because, I`m finally getting him excited about Hanukkah, and, and you`re-you`re wrecking it.",Ross
39190,52708,9,16,The Boob Job,We`re all sorry... (They have a group hug),Monica
43109,57461,10,9,The Birth Mother,"You know, we should just go, I’m not gonna find anything here! This stuff is ridiculous!",Ross
21248,31004,6,5,Joey`s Porsche,(entering) Hey guys!,Joey
19537,29144,5,22,Joey`s Big Break,"Oh umm, not go.",Joey
39435,52986,9,18,The Lottery,"Yeah, because if I was at my old job we`d say 300 million? No thank you!",Chandler
10066,17892,3,25,At The Beach,"Monica, please?",Rachel
28027,38897,7,10,The Huliday Armadillo,"(returning) Okay, remember uh, remember how you told me that your grandmother put up that wall to make that into two bedrooms?",Rachel
24382,34618,6,19,Joey`s Fridge,"I can do that. Oh-oh, what if she gets upset?",Ross
7873,15059,3,15,Ross And Rachel Take A Break,Why? (in a motherlike tone) Do you have a report due?,Monica
21434,31213,6,6,On The Last Night,Of course I packed! Monica relax! I just wanted to ask Phoebe her opinion on what I should wear tonight.,Rachel
8436,15714,3,17,The Ski Trip,Come on! Who has the biggest boobs?,Joey
15423,24327,5,3,Hundredth,Apparently she fell in the shower and hit her head.,Ross
13732,22441,4,18,Rachel`s New Dress,"See you later, Gene.",Joey
9382,16940,3,21,The Chick And The Duck,"I was kinda, supposed to be on TV tonight for The Discovery Channel.",Ross
26879,37571,7,5,The Engagement Picture,Hey!,Joey
10725,18708,4,3,The Cuffs,"Well, its good thing you got out when you did, before she blew up like that Vesuvius.",Joey
44864,59589,10,16,Rachel`s Going Away Party,That is so sweet. (they hug),Monica
32912,44822,8,8,The Stripper,Oh my God!!! Monica!! Hes the stripper from your bachelorette party!!,Phoebe
18887,28370,5,19,Ross Can`t Flirt,(not smiling) That`s not good.,Phoebe
19713,29336,5,22,Joey`s Big Break,Okay! All right! Let`s do it!,Monica
42861,57201,10,8,The Late Thanksgiving,Do you hear something? (Chandlers stands up and goes to the door to look out from the peephole),Monica
10601,18540,4,3,The Cuffs,"Okay ah, please dont freak out. Umm, but ah, theres a blue fingernail in one of the quiche cups, and theres no way to know which one.",Monica
18213,27568,5,16,The Cop,"Yeah, I didnt know you guys were going to be here.",Joey
10554,18480,4,3,The Cuffs,Could we be more white trash?,Chandler
40286,53966,9,21,The Fertility Test,"Hey, honey, my test is down the hall, are you sure you`re going to be ok?",Monica
39743,53333,9,19,Rachel`s Dream,Thank you!,Monica
38911,52360,9,15,The Mugging,"Well, there was this one kid who had a sticker on his backpack that said-",Phoebe
40213,53873,9,21,The Fertility Test,But I am going hunting!!,Rachel
12395,20756,4,12,The Embryos,"Gentlemen, youre pick.",Ross
14631,23445,4,22,The Worst Best Man Ever,"Okay, well, well call the company that sent her!",Ross
45357,60141,10,17,"The Last One, Part I & II","Oh, well sure. This gotta be so hard. I`ll do it. Gimme!",Monica
6921,13851,3,10,Rachel Quits,"Wow, you ah, you really like all this space stuff, huh?",Ross
13004,21466,4,14,Joey`s Dirty Day,Please?,Chandler
37311,50038,9,5,Phoebe`s Birthday Dinner,"Uch, do you think, Monica is gonna be able smell it?",Chandler
14462,23260,4,21,The Invitation,"OK, fine, well I`m not gonna watch, alright.",Ross
